Código do município	Nome do município
886	Alto Bela Vista
894	Barra Bonita
5745	Belmonte
902	Bom Jesus do Oeste
904	Brunópolis
5553	Calmon
9943	Celso Ramos
5567	Cerro Negro
908	Chapadão do Lageado
5735	Coronel Martins
8395	Correia Pinto
8095	Descanso
8099	Dona Emma
912	Entre Rios
916	Flor do Sertão
5581	Formosa do Sul
918	Frei Rogério
8109	Galvão
8129	Guarujá do Sul
5737	Ipuaçu
9953	Iraceminha
5585	Irati
5587	Jardinópolis
924	Jupiá
8191	Lebon Régis
8193	Leoberto Leal
5575	Macieira
8201	Major Gercino
5539	Morro Grande
5741	Ouro Verde
930	Painel
5541	Passo de Torres
8261	Ponte Alta
8271	Praia Grande
8277	Presidente Nereu
934	Princesa
8299	Romelândia
936	Saltinho
5751	Santa Helena
8307	Santa Rosa de Lima
938	Santa Terezinha do Progresso
5573	São Cristóvão do Sul
8317	São Domingos
8331	São José do Cerrito
5755	São Miguel da Boa Vista
946	Tigrinhos
9973	União do Oeste
9975	Urupema
5563	Vargem
9996	Balneário Rincão
9939	Abdon Batista
8001	Abelardo Luz
8003	Agrolândia
8005	Agronômica
8009	Águas de Chapecó
8013	Alfredo Wagner
8017	Angelina
8019	Anita Garibaldi
8021	Anitápolis
9941	Apiúna
8025	Araquari
8027	Araranguá
8031	Arroio Trinta
8033	Ascurra
8035	Atalanta
8037	Aurora
888	Balneário Arroio do Silva
5549	Balneário Barra do Sul
8039	Balneário Camboriú
890	Balneário Gaivota
8041	Barra Velha
896	Bela Vista do Toldo
8043	Benedito Novo
8047	Blumenau
898	Bocaina do Sul
8389	Bom Jardim da Serra
8049	Bom Retiro
5537	Bombinhas
8051	Botuverá
5557	Braço do Trombudo
8055	Brusque
8057	Caçador
8061	Camboriú
8063	Campo Alegre
8065	Campo Belo do Sul
8071	Canelinha
8073	Canoinhas
906	Capão Alto
5543	Cocal do Sul
8087	Corupá
8089	Criciúma
8093	Curitibanos
9945	Doutor Pedrinho
914	Ermo
973	Forquilhinha
8107	Fraiburgo
8115	Garuva
8117	Gaspar
8119	Grão Pará
8123	Guabiruba
8127	Guaramirim
920	Ibiam
8135	Ibirama
8137	Içara
8139	Ilhota
8141	Imaruí
8145	Imbuia
8147	Indaial
922	Iomerê
8149	Ipira
8155	Irineópolis
8159	Itaiópolis
8161	Itajaí
8163	Itapema
9985	Itapoá
8167	Ituporanga
8171	Jacinto Machado
8175	Jaraguá do Sul
8179	Joinville
9957	José Boiteux
8183	Lages
5739	Lajeado Grande
8187	Laurentino
8189	Lauro Muller
8195	Lontras
8197	Luiz Alves
8199	Mafra
8203	Major Vieira
8391	Maracajá
9963	Marema
8207	Massaranduba
8209	Matos Costa
8211	Meleiro
5559	Mirim Doce
5561	Monte Carlo
8217	Monte Castelo
8219	Morro da Fumaça
8221	Navegantes
5589	Nova Itaberaba
8225	Nova Trento
8227	Nova Veneza
8229	Orleans
8397	Otacílio Costa
932	Palmeira
8239	Papanduva
5743	Passos Maia
8243	Pedras Grandes
8245	Penha
8249	Petrolândia
8251	Balneário Piçarras
8255	Pinheiro Preto
5593	Planalto Alegre
8259	Pomerode
5569	Ponte Alta do Norte
8265	Porto Belo
8267	Porto União
8269	Pouso Redondo
8275	Presidente Getúlio
8281	Rancho Queimado
8283	Rio das Antas
8285	Rio do Campo
8287	Rio do Oeste
8291	Rio do Sul
8289	Rio dos Cedros
8295	Rio Negrinho
5571	Rio Rufino
8297	Rodeio
8301	Salete
8303	Salto Veloso
5547	Sangão
8305	Santa Cecília
9967	Santa Rosa do Sul
5555	Santa Terezinha
940	Santiago do Sul
8311	São Bento do Sul
8313	São Bonifácio
8319	São Francisco do Sul
8321	São João Batista
5551	São João do Itaperiú
8323	São João do Sul
8325	São Joaquim
8337	São Martinho
944	São Pedro de Alcântara
8343	Schroeder
8347	Siderópolis
8349	Sombrio
8351	Taió
8353	Tangará
8355	Tijucas
8393	Timbé do Sul
8357	Timbó
9971	Timbó Grande
8359	Três Barras
948	Treviso
8361	Treze de Maio
8365	Trombudo Central
8369	Turvo
8371	Urubici
8373	Urussanga
8375	Vargeão
8377	Vidal Ramos
8379	Videira
9977	Vítor Meireles
8381	Witmarsum
950	Zortéa
5566	Balneário Rincão
9995	Pescaria Brava
8011	Águas Mornas
8023	Antônio Carlos
8029	Armazém
8045	Biguaçu
8053	Braço do Norte
5545	Capivari de Baixo
8105	Florianópolis
8113	Garopaba
8111	Governador Celso Ramos
8121	Gravatal
8143	Imbituba
8173	Jaguaruna
8185	Laguna
8233	Palhoça
8241	Paulo Lopes
8293	Rio Fortuna
8309	Santo Amaro da Imperatriz
8327	São José
8335	São Ludgero
8367	Tubarão
8007	Água Doce
5577	Águas Frias
8015	Anchieta
5597	Arabutã
5599	Arvoredo
892	Bandeirante
900	Bom Jesus
8059	Caibi
8067	Campo Erê
8069	Campos Novos
8075	Capinzal
8077	Catanduvas
8079	Caxambu do Sul
8081	Chapecó
8083	Concórdia
5579	Cordilheira Alta
8085	Coronel Freitas
8091	Cunha Porã
910	Cunhataí
8097	Dionísio Cerqueira
8101	Erval Velho
8103	Faxinal dos Guedes
8125	Guaraciaba
5583	Guatambú
8131	Herval d'Oeste
8133	Ibicaré
9951	Iporã do Oeste
8151	Ipumirim
8153	Irani
8157	Itá
8165	Itapiranga
8169	Jaborá
8177	Joaçaba
8181	Lacerdópolis
9961	Lindóia do Sul
926	Luzerna
8205	Maravilha
8213	Modelo
8215	Mondaí
8223	Nova Erechim
5591	Novo Horizonte
8231	Ouro
928	Paial
8237	Palmitos
5747	Paraíso
8247	Peritiba
8253	Pinhalzinho
8257	Piratuba
8263	Ponte Serrada
8273	Presidente Castelo Branco
8279	Quilombo
5749	Riqueza
942	São Bernardino
8315	São Carlos
5753	São João do Oeste
8329	São José do Cedro
8333	São Lourenço do Oeste
8339	São Miguel d'Oeste
8341	Saudades
8345	Seara
9989	Serra Alta
5595	Sul Brasil
8363	Treze Tílias
9991	Tunápolis
5565	Vargem Bonita
8383	Xanxerê
8385	Xavantina
8387	Xaxim
8235	Palma Sola
